Type,Subtype,Subset,Filter,Genotype,METRIC.Recall,METRIC.Precision,QUERY.FP,QUERY.TP,TRUTH.TOTAL,Subset.IS_CONF.Size
SNV,*,AllAutosomes,ALL,*,0.985,0.995,1979,394000,400000,2500000000
INDEL,*,AllAutosomes,ALL,*,0.68,0.75,18133,54400,80000,2500000000
SNV,*,lowmappabilityall,ALL,*,0.985,0.995,98,19700,20000,125000000
INDEL,*,lowmappabilityall,ALL,*,0.68,0.75,906,2720,4000,125000000
SNV,*,segdups,ALL,*,0.985,0.995,98,19700,20000,125000000
INDEL,*,segdups,ALL,*,0.68,0.75,906,2720,4000,125000000
SNV,*,CMRG,ALL,*,0.985,0.995,98,19700,20000,125000000
INDEL,*,CMRG,ALL,*,0.68,0.75,906,2720,4000,125000000
SNV,*,MHC,ALL,*,0.985,0.995,98,19700,20000,125000000
INDEL,*,MHC,ALL,*,0.68,0.75,906,2720,4000,125000000
