Type,Subtype,Subset,Filter,Genotype,METRIC.Recall,METRIC.Precision,QUERY.FP,QUERY.TP,TRUTH.TOTAL,Subset.IS_CONF.Size
SNV,*,AllAutosomes,ALL,*,0.988,0.993,2785,395200,400000,2500000000
INDEL,*,AllAutosomes,ALL,*,0.73,0.74,20518,58400,80000,2500000000
SNV,*,lowmappabilityall,ALL,*,0.988,0.993,139,19760,20000,125000000
INDEL,*,lowmappabilityall,ALL,*,0.73,0.74,1025,2920,4000,125000000
SNV,*,segdups,ALL,*,0.988,0.993,139,19760,20000,125000000
INDEL,*,segdups,ALL,*,0.73,0.74,1025,2920,4000,125000000
SNV,*,CMRG,ALL,*,0.988,0.993,139,19760,20000,125000000
INDEL,*,CMRG,ALL,*,0.73,0.74,1025,2920,4000,125000000
SNV,*,MHC,ALL,*,0.988,0.993,139,19760,20000,125000000
INDEL,*,MHC,ALL,*,0.73,0.74,1025,2920,4000,125000000
