Type,Subtype,Subset,Filter,Genotype,METRIC.Recall,METRIC.Precision,QUERY.FP,QUERY.TP,TRUTH.TOTAL,Subset.IS_CONF.Size
SNV,*,AllAutosomes,ALL,*,0.986,0.994,2380,394400,400000,2500000000
INDEL,*,AllAutosomes,ALL,*,0.71,0.745,19441,56800,80000,2500000000
SNV,*,lowmappabilityall,ALL,*,0.986,0.994,119,19720,20000,125000000
INDEL,*,lowmappabilityall,ALL,*,0.71,0.745,972,2840,4000,125000000
SNV,*,segdups,ALL,*,0.986,0.994,119,19720,20000,125000000
INDEL,*,segdups,ALL,*,0.71,0.745,972,2840,4000,125000000
SNV,*,CMRG,ALL,*,0.986,0.994,119,19720,20000,125000000
INDEL,*,CMRG,ALL,*,0.71,0.745,972,2840,4000,125000000
SNV,*,MHC,ALL,*,0.986,0.994,119,19720,20000,125000000
INDEL,*,MHC,ALL,*,0.71,0.745,972,2840,4000,125000000
